asm_name,assembly_accession,assembly_level,bioproject,biosample,ftp_path,gbrs_paired_asm,genome_rep,infraspecific_name,isolate,organism_name,paired_asm_comp,refseq_category,release_type,seq_date,seq_rel_date,species_taxid,submitter,taxid,version_status,wgs_master,OptimumTemperature
ASM28169v1,GCA_000281695.1,Complete Genome,PRJNA89473,SAMN02603638,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000281695.1_ASM28169v1,GCF_000281695.1,Full,strain=J7-2,,Natrinema sp. J7-2,identical,na,Major,,2012/07/25,406552,Nankai University,406552,latest,,37.0
ASM23071v3,GCA_000230715.3,Complete Genome,PRJNA60135,SAMN02232042,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000230715.3_ASM23071v3,GCF_000230715.2,Full,strain=SP2,,Natronobacterium gregoryi SP2,identical,representative genome,Major,,2012/12/10,44930,DOE Joint Genome Institute,797304,latest,,37.0
ASM40364v1,GCA_000403645.1,Complete Genome,PRJNA202311,SAMN02602994,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000403645.1_ASM40364v1,GCF_000403645.1,Full,strain=Harcht-Bsk1,,Salinarchaeum sp. Harcht-Bsk1,identical,na,Major,,2013/05/30,1333523,Baltic Federal University,1333523,latest,,37.0
ASM19259v1,GCA_000192595.1,Scaffold,PRJNA63555,SAMN02954274,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000192595.1_ASM19259v1,GCF_000192595.1,Partial,,,Candidatus Parvarchaeum acidiphilum ARMAN-4_''5-way FS'',identical,na,Major,,2011/03/18,662759,University of California Berkeley,994837,latest,AEYN00000000.1,38.0
ASM19261v1,GCA_000192615.1,Scaffold,PRJNA63557,SAMN02954274,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000192615.1_ASM19261v1,GCF_000192615.1,Partial,,,Candidatus Parvarchaeum acidophilus ARMAN-5_''5-way FS'',identical,na,Major,,2011/03/18,662761,University of California Berkeley,994838,latest,AEYO00000000.1,38.0
ASM30676v2,GCA_000306765.2,Complete Genome,PRJNA43185,SAMN02603397,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000306765.2_ASM30676v2,GCF_000306765.2,Full,strain=CGMCC 1.2087,,Haloferax mediterranei ATCC 33500,identical,representative genome,Major,,2014/05/27,2252,"Institute of Microbiology, Chinese Academy of Sciences",523841,latest,,38.0
ASM37908v1,GCA_000379085.1,Scaffold,PRJNA88127,SAMN02261322,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000379085.1_ASM37908v1,GCF_000379085.1,Full,strain=DSM 19301,,Halomicrobium katesii DSM 19301,identical,na,Major,,2013/04/23,437163,JGI,1069082,latest,AQZY00000000.1,38.0
ASM42180v1,GCA_000421805.1,Contig,PRJNA188910,SAMN02441569,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000421805.1_ASM42180v1,GCF_000421805.1,Full,strain=DSM 17463,,Halorubrum ezzemoulense DSM 17463,identical,na,Major,,2013/07/09,337243,DOE Joint Genome Institute,1121945,latest,ATXS00000000.1,38.0
ASM33745v1,GCA_000337455.1,Contig,PRJNA174924,SAMN02471654,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337455.1_ASM33745v1,GCF_000337455.1,Full,strain=2-9-1,,Halosimplex carlsbadense 2-9-1,identical,representative genome,Major,,2013/02/04,171164,"University of California, Davis",797114,latest,AOIU00000000.1,38.0
ASM32050v2,GCA_000320505.2,Contig,PRJDB198,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000320505.2_ASM32050v2,GCF_000320505.1,Full,strain=JH1,,Methanobrevibacter boviskoreani JH1,identical,representative genome,Major,,2012/10/03,1348249,Korea Research Institute of Bioscience and Biotechnology,1214066,latest,BAGX00000000.2,38.0
ASM40416v1,GCA_000404165.1,Complete Genome,PRJNA157813,SAMN02602974,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000404165.1_ASM40416v1,GCF_000404165.1,Full,strain=AbM4,,Methanobrevibacter sp. AbM4,identical,na,Major,,2013/06/03,224719,AgResearch Ltd. & The New Zealand Agricultural Greenhouse Gas Research Centre,224719,latest,,38.0
ASM1722v1,GCA_000017225.1,Complete Genome,PRJNA18819,SAMN00000031,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000017225.1_ASM1722v1,GCF_000017225.1,Full,strain=C7,,Methanococcus maripaludis C7,identical,representative genome,Major,,2007/06/29,39152,,426368,latest,,38.0
ASM1716v1,GCA_000017165.1,Complete Genome,PRJNA17889,SAMN02598403,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000017165.1_ASM1716v1,GCF_000017165.1,Full,strain=SB,,Methanococcus vannielii SB,identical,representative genome,Major,,2007/06/29,2187,,406327,latest,,38.0
ASM617v2,GCA_000006175.2,Complete Genome,PRJNA20131,SAMN00000040,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000006175.2_ASM617v2,GCF_000006175.1,Full,strain=A3,,Methanococcus voltae A3,identical,representative genome,Major,,2010/06/03,2188,,456320,latest,,38.0
ASM1254v1,GCA_000012545.1,Complete Genome,PRJNA15579,SAMN02604180,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000012545.1_ASM1254v1,GCF_000012545.1,Full,strain=DSM 3091,,Methanosphaera stadtmanae DSM 3091,identical,representative genome,Major,,2006/01/05,2317,,339860,latest,,38.0
ASM2562v1,GCA_000025625.1,Complete Genome,PRJNA30691,SAMN02598473,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000025625.1_ASM2562v1,GCF_000025625.1,Full,strain=ATCC 43099,,Natrialba magadii ATCC 43099,identical,representative genome,Major,,2010/02/24,13769,,547559,latest,,38.0
ASM33717v1,GCA_000337175.1,Contig,PRJNA174935,SAMN02471627,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337175.1_ASM33717v1,GCF_000337175.1,Full,strain=JCM 14663,,Natrinema gari JCM 14663,identical,na,Major,,2013/02/04,419186,"University of California, Davis",1230459,latest,AOIJ00000000.1,38.0
ASM33761v1,GCA_000337615.1,Contig,PRJNA174936,SAMN02471671,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337615.1_ASM33761v1,GCF_000337615.1,Full,strain=DSM 3751,,Natrinema pallidum DSM 3751,identical,na,Major,,2013/02/04,69527,"University of California, Davis",1227495,latest,AOII00000000.1,38.0
ASM59105v1,GCA_000591055.1,Complete Genome,PRJEA50649,SAMEA3138954,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000591055.1_ASM59105v1,GCF_000591055.1,Full,strain=8.8.11,,Natronomonas moolapensis 8.8.11,identical,representative genome,Major,,2013/02/21,416273,Max-Planck-Institute of Biochemistry,268739,latest,,38.0
ASM15226v2,GCA_000152265.2,Complete Genome,PRJNA239,SAMN02604346,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000152265.2_ASM15226v2,GCF_000152265.2,Full,strain=fer1,,Ferroplasma acidarmanus fer1,identical,representative genome,Major,,2013/06/26,97393,DOE Joint Genome Institute,333146,latest,,39.0
ASM44786v2,GCA_000447865.2,Scaffold,PRJNA183189,SAMN02469738,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000447865.2_ASM44786v2,GCF_000447865.2,Full,strain=3A1_DGR,,haloarchaeon 3A1_DGR,identical,na,Major,,2014/02/11,1071085,Directorate of Groundnut Research (Indian Council of Agricultural Research),1071085,latest,ATCR00000000.2,39.0
ASM2418v1,GCA_000024185.1,Complete Genome,PRJNA34681,SAMN02603710,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000024185.1_ASM2418v1,GCF_000024185.1,Full,strain=M1,,Methanobrevibacter ruminantium M1,identical,representative genome,Major,,2010/02/05,83816,,634498,latest,,39.0
ASM35030v1,GCA_000350305.1,Complete Genome,PRJNA68695,SAMN02603168,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000350305.1_ASM35030v1,GCF_000350305.1,Full,strain=BRNA1,,Thermoplasmatales archaeon BRNA1,identical,na,Major,,2013/04/02,1054217,CSIRO Livestock Industries,1054217,latest,,39.0
ASM33689v1,GCA_000336895.1,Contig,PRJNA174892,SAMN02471678,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336895.1_ASM33689v1,GCF_000336895.1,Full,strain=DSM 12282,,Haloarcula argentinensis DSM 12282,identical,na,Major,,2013/02/04,43776,"University of California, Davis",1230451,latest,AOLX00000000.1,40.0
ASM33693v1,GCA_000336935.1,Contig,PRJNA174899,SAMN02471636,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336935.1_ASM33693v1,GCF_000336935.1,Full,strain=DSM 8989,,Halococcus salifodinae DSM 8989,identical,representative genome,Major,,2013/02/04,36738,"University of California, Davis",1227456,latest,AOME00000000.1,40.0
ASM17299v2,GCA_000172995.2,Complete Genome,PRJNA20743,SAMN00002580,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000172995.2_ASM17299v2,GCF_000172995.2,Full,strain=PR 3,,Halogeometricum borinquense DSM 11551,identical,representative genome,Major,,2010/11/22,60847,,469382,latest,,40.0
ASM2396v1,GCA_000023965.1,Complete Genome,PRJNA27945,SAMN00002610,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000023965.1_ASM2396v1,GCF_000023965.1,Full,strain=DSM 12286,,Halomicrobium mukohataei DSM 12286,identical,representative genome,Major,,2009/09/03,57705,,485914,latest,,40.0
ASM42768v1,GCA_000427685.1,Scaffold,PRJNA157819,SAMN02440896,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000427685.1_ASM42768v1,GCF_000427685.1,Full,strain=DSM 17983,,Haloplanus natans DSM 17983,identical,representative genome,Major,,2013/07/15,376171,JGI,926690,latest,ATYM00000000.1,40.0
ASM33739v1,GCA_000337395.1,Contig,PRJNA174919,SAMN02471646,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337395.1_ASM33739v1,GCF_000337395.1,Full,strain=JCM 13561,,Halorubrum litoreum JCM 13561,identical,representative genome,Major,,2013/02/04,409316,"University of California, Davis",1227483,latest,AOJF00000000.1,40.0
ASM33741v1,GCA_000337415.1,Contig,PRJNA174921,SAMN02471631,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337415.1_ASM33741v1,GCF_000337415.1,Full,strain=DSM 14210,,Halorubrum tebenquichense DSM 14210,identical,na,Major,,2013/02/04,119434,"University of California, Davis",1227485,latest,AOJD00000000.1,40.0
ASM27586v1,GCA_000275865.1,Chromosome,PRJNA52839,SAMN02256542,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000275865.1_ASM27586v1,GCF_000275865.1,Full,strain=DSM 4140,,Methanofollis liminatans DSM 4140,identical,representative genome,Major,,2012/07/13,2201,DOE Joint Genome Institute,28892,latest,AGCO00000000.1,40.0
ASM71121v1,GCA_000711215.1,Contig,PRJNA223456,SAMN02745537,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000711215.1_ASM71121v1,GCF_000711215.1,Full,strain=BP,,Methanomicrobium mobile BP,identical,representative genome,Major,,2014/06/24,2205,DOE Joint Genome Institute,694440,latest,JOMF00000000.1,40.0
ASM24325v1,GCA_000243255.1,Chromosome,PRJNA61291,SAMN02261391,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000243255.1_ASM24325v1,GCF_000243255.1,Full,strain=DSM 2279,,Methanoplanus limicola DSM 2279,identical,representative genome,Major,,2012/01/24,2315,,937775,latest,AHKP00000000.1,40.0
ASM734v1,GCA_000007345.1,Complete Genome,PRJNA290,SAMN03081414,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007345.1_ASM734v1,GCF_000007345.1,Full,strain=C2A,,Methanosarcina acetivorans C2A,identical,representative genome,Major,,2002/04/03,2214,,188937,latest,,40.0
ASM33753v1,GCA_000337535.1,Contig,PRJNA174929,SAMN02471628,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337535.1_ASM33753v1,GCF_000337535.1,Full,strain=DSM 13077,,Natrialba aegyptia DSM 13077,identical,na,Major,,2013/02/04,129789,"University of California, Davis",1227491,latest,AOIP00000000.1,40.0
ASM32868v1,GCA_000328685.1,Complete Genome,PRJNA46985,SAMN02261263,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000328685.1_ASM32868v1,GCF_000328685.1,Full,strain=SP4,,Natronococcus occultus SP4,identical,representative genome,Major,,2012/12/28,29288,JGI,694430,latest,,40.0
ASM19689v1,GCA_000196895.1,Complete Genome,PRJNA49517,SAMN02603490,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000196895.1_ASM19689v1,GCF_000196895.1,Full,strain=B3,,Halalkalicoccus jeotgali B3,identical,representative genome,Major,,2010/06/23,413810,,795797,latest,,41.0
ASM33661v1,GCA_000336615.1,Contig,PRJNA174891,SAMN02471637,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336615.1_ASM33661v1,GCF_000336615.1,Full,strain=JCM 13557,,Haloarcula amylolytica JCM 13557,identical,na,Major,,2013/02/04,396317,"University of California, Davis",1227452,latest,AOLW00000000.1,41.0
ASM6902v1,GCA_000069025.1,Complete Genome,PRJNA106,SAMEA3138275,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000069025.1_ASM6902v1,GCF_000069025.1,Full,strain=DSM 671 = R1,,Halobacterium salinarum R1,identical,representative genome,Major,,2008/02/12,2242,,478009,latest,,41.0
ASM680v1,GCA_000006805.1,Complete Genome,PRJNA217,SAMN02604216,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000006805.1_ASM680v1,GCF_000006805.1,Full,strain=NRC-1; ATCC 700922,,Halobacterium sp. NRC-1,identical,na,Major,,2001/01/09,2242,,64091,latest,,41.0
ASM33699v1,GCA_000336995.1,Contig,PRJNA174910,SAMN02471664,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336995.1_ASM33699v1,GCF_000336995.1,Full,strain=JCM 13560,,Halorubrum aidingense JCM 13560,identical,representative genome,Major,,2013/02/04,368623,"University of California, Davis",1230454,latest,AOJI00000000.1,41.0
ASM33743v1,GCA_000337435.1,Contig,PRJNA174922,SAMN02471682,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337435.1_ASM33743v1,GCF_000337435.1,Full,strain=JCM 10247,,Halorubrum terrestre JCM 10247,identical,na,Major,,2013/02/04,267368,"University of California, Davis",1227486,latest,AOIW00000000.1,41.0
HTGA29.1,GCA_000710605.1,Contig,PRJNA236631,SAMN02629025,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000710605.1_HTGA29.1,GCF_000710605.1,Full,strain=A29,,Haloterrigena jeotgali A29,identical,na,Major,,2014/06/20,413811,Korea Basic Science Institute,1455609,latest,JDTG00000000.1,41.0
ASM33769v1,GCA_000337695.1,Contig,PRJNA174941,SAMN02471624,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337695.1_ASM33769v1,GCF_000337695.1,Full,strain=DSM 18795,,Natronococcus jeotgali DSM 18795,identical,representative genome,Major,,2013/02/04,413812,"University of California, Davis",1227498,latest,AOIA00000000.1,41.0
ASM33721v1,GCA_000337215.1,Contig,PRJNA174942,SAMN02471623,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337215.1_ASM33721v1,GCF_000337215.1,Full,strain=JCM 12255,,Natronolimnobius innermongolicus JCM 12255,identical,representative genome,Major,,2013/02/04,253107,"University of California, Davis",1227499,latest,AOHZ00000000.1,41.0
ASM33789v1,GCA_000337895.1,Contig,PRJNA174895,SAMN02471660,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337895.1_ASM33789v1,GCF_000337895.1,Full,strain=JCM 10879,,Halobiforma nitratireducens JCM 10879,identical,representative genome,Major,,2013/02/04,130048,"University of California, Davis",1227454,latest,AOMA00000000.1,42.0
ASM33701v1,GCA_000337015.1,Contig,PRJNA174911,SAMN02471647,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337015.1_ASM33701v1,GCF_000337015.1,Full,strain=JCM 13916,,Halorubrum arcis JCM 13916,identical,na,Major,,2013/02/04,368454,"University of California, Davis",1230455,latest,AOJJ00000000.1,42.0
ASM1612v1,GCA_000016125.1,Complete Genome,PRJNA17641,SAMN02598397,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000016125.1_ASM1612v1,GCF_000016125.1,Full,strain=C5,,Methanococcus maripaludis C5,identical,na,Major,,2007/03/15,39152,,402880,latest,,42.0
ASM33767v1,GCA_000337675.1,Contig,PRJNA174940,SAMN02471669,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337675.1_ASM33767v1,GCF_000337675.1,Full,strain=DSM 10524,,Natronococcus amylolyticus DSM 10524,identical,representative genome,Major,,2013/02/04,44470,"University of California, Davis",1227497,latest,AOIB00000000.1,42.0
ASM69878v1,GCA_000698785.1,Complete Genome,PRJEA60103,SAMN02721150,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000698785.1_ASM69878v1,na,Full,strain=EN76,,Nitrososphaera viennensis EN76,na,representative genome,Major,,2014/06/06,1034015,University of Vienna,926571,latest,,42.0
ASM33665v1,GCA_000336655.1,Contig,PRJNA174894,SAMN02471659,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336655.1_ASM33665v1,GCF_000336655.1,Full,strain=AJ5,,Halobiforma lacisalsi AJ5,identical,representative genome,Major,,2013/02/04,229731,"University of California, Davis",358396,latest,AOLZ00000000.1,43.0
ASM33695v1,GCA_000336955.1,Contig,PRJNA174904,SAMN02471655,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336955.1_ASM33695v1,GCF_000336955.1,Full,strain=JCM 13917,,Haloferax larsenii JCM 13917,identical,na,Major,,2013/02/04,302484,"University of California, Davis",1227460,latest,AOLI00000000.1,43.0
ASM33681v1,GCA_000336815.1,Contig,PRJNA174906,SAMN02471666,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336815.1_ASM33681v1,GCF_000336815.1,Full,strain=DSM 18310,,Haloferax prahovense DSM 18310,identical,na,Major,,2013/02/04,381852,"University of California, Davis",1227461,latest,AOLG00000000.1,43.0
ASM33719v1,GCA_000337195.1,Contig,PRJNA174938,SAMN02471670,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337195.1_ASM33719v1,GCF_000337195.1,Full,strain=JCM 10478,,Natrinema versiforme JCM 10478,identical,representative genome,Major,,2013/02/04,88724,"University of California, Davis",1227496,latest,AOID00000000.1,43.0
ASM33663v1,GCA_000336635.1,Contig,PRJNA174893,SAMN02471638,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336635.1_ASM33663v1,GCF_000336635.1,Full,strain=DSM 6131,,Haloarcula japonica DSM 6131,identical,na,Major,,2013/02/04,29282,"University of California, Davis",1227453,latest,AOLY00000000.1,44.0
ASM2604v1,GCA_000026045.1,Complete Genome,PRJNA15742,SAMEA3138222,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000026045.1_ASM2604v1,GCF_000026045.1,Full,strain=Gabara,,Natronomonas pharaonis DSM 2160,identical,representative genome,Major,,2005/09/28,2257,,348780,latest,,44.0
ASM1108v1,GCA_000011085.1,Complete Genome,PRJNA105,SAMN02603385,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000011085.1_ASM1108v1,GCF_000011085.1,Full,strain=ATCC 43049,,Haloarcula marismortui ATCC 43049,identical,na,Major,,2004/11/02,2238,,272569,latest,,45.0
ASM2568v1,GCA_000025685.1,Complete Genome,PRJNA12524,SAMN02604027,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000025685.1_ASM2568v1,GCF_000025685.1,Full,strain=DS2,,Haloferax volcanii DS2,identical,representative genome,Major,,2010/03/23,2246,,309800,latest,,45.0
ASM23786v1,GCA_000237865.1,Complete Genome,PRJEA49335,SAMEA2272799,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000237865.1_ASM23786v1,GCF_000237865.1,Full,,,Haloquadratum walsbyi C23,identical,representative genome,Major,,2011/05/31,293091,,768065,latest,,45.0
HATI1,GCA_000470655.1,Complete Genome,PRJEB1233,SAMEA2271992,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000470655.1_HATI1,GCF_000470655.1,Full,strain=type strain: SARL4B,,Halorhabdus tiamatea SARL4B,identical,representative genome,Major,,2013/08/01,430914,MPI BREMEN,1033806,latest,,45.0
LPSSH13,GCA_000690595.1,Contig,PRJNA227069,SAMN02390968,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000690595.1_LPSSH13,na,Full,strain=H13,,Haloterrigena sp. H13,na,na,Major,,2014/05/13,1416969,"National Chung Hsing University, Taichung City, Taiwan R.O.C.",1416969,latest,JHUT00000000.1,45.0
ASM6344v1,GCA_000063445.1,Complete Genome,PRJNA19641,SAMEA3138262,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000063445.1_ASM6344v1,GCF_000063445.1,Full,strain=MRE50,,Methanocella arvoryzae MRE50,identical,representative genome,Major,,2006/10/12,1175445,,351160,latest,,45.0
ASM21799v1,GCA_000217995.1,Complete Genome,PRJNA40771,SAMN02232039,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000217995.1_ASM21799v1,GCF_000217995.1,Full,strain=DSM 4017,,Methanosalsum zhilinae DSM 4017,identical,representative genome,Major,,2011/06/13,39669,,679901,latest,,45.0
ASM33713v1,GCA_000337135.1,Contig,PRJNA174931,SAMN02471674,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337135.1_ASM33713v1,GCF_000337135.1,Full,strain=JCM 10990,,Natrialba chahannaoensis JCM 10990,identical,na,Major,,2013/02/04,68911,"University of California, Davis",1227492,latest,AOIN00000000.1,45.0
ASM33771v1,GCA_000337715.1,Contig,PRJNA174943,SAMN02471622,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337715.1_ASM33771v1,GCF_000337715.1,Full,strain=JCM 10635,,Natronorubrum bangense JCM 10635,identical,representative genome,Major,,2013/02/04,61858,"University of California, Davis",1227500,latest,AOHY00000000.1,45.0
ASM33773v1,GCA_000337735.1,Contig,PRJNA174944,SAMN02471621,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337735.1_ASM33773v1,GCF_000337735.1,Full,strain=JCM 14089,,Natronorubrum sulfidifaciens JCM 14089,identical,representative genome,Major,,2013/02/04,388259,"University of California, Davis",1230460,latest,AOHX00000000.1,45.0
ASM38397v1,GCA_000383975.1,Scaffold,PRJNA85145,SAMN02261315,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000383975.1_ASM38397v1,GCF_000383975.1,Full,strain=GA33,,Natronorubrum tibetense GA33,identical,representative genome,Major,,2013/04/26,63128,JGI,1114856,latest,ARPH00000000.1,45.0
APF_1883_PRJEB4650,GCA_000723185.1,Contig,PRJEB4650,SAMEA3139018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000723185.1_APF_1883_PRJEB4650,GCF_000723185.1,Full,strain=N4,,Thaumarchaeota archaeon N4,identical,na,Major,,2013/12/05,1407055,Genoscope CEA,1407055,latest,CBTY000000000.1,45.0
ASM30315v1,GCA_000303155.1,Complete Genome,PRJNA60505,SAMN02603264,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000303155.1_ASM30315v1,GCF_000303155.1,Full,,enrichment culture Ga9.2,Candidatus Nitrososphaera gargensis Ga9.2,identical,na,Major,,2012/10/05,497727,Georg-August-University Goettingen,1237085,latest,,46.0
ASM33737v1,GCA_000337375.1,Contig,PRJNA174918,SAMN02471632,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337375.1_ASM33737v1,GCF_000337375.1,Full,strain=DSM 21995,,Halorubrum lipolyticum DSM 21995,identical,representative genome,Major,,2013/02/04,368624,"University of California, Davis",1227482,latest,AOJG00000000.1,46.0
ASM1718v1,GCA_000017185.1,Complete Genome,PRJNA18641,SAMN00623051,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000017185.1_ASM1718v1,GCF_000017185.1,Full,strain=Nankai-3,,Methanococcus aeolicus Nankai-3,identical,representative genome,Major,,2007/06/29,42879,,419665,latest,,46.0
ASM33675v1,GCA_000336755.1,Contig,PRJNA174902,SAMN02471641,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336755.1_ASM33675v1,GCF_000336755.1,Full,strain=ATCC BAA-1513,,Haloferax elongans ATCC BAA-1513,identical,representative genome,Major,,2013/02/04,403191,"University of California, Davis",1230453,latest,AOLK00000000.1,47.0
ASM33747v1,GCA_000337475.1,Contig,PRJNA174925,SAMN02471681,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337475.1_ASM33747v1,GCF_000337475.1,Full,strain=JCM 13563,,Haloterrigena limicola JCM 13563,identical,representative genome,Major,,2013/02/04,370323,"University of California, Davis",1230457,latest,AOIT00000000.1,47.0
ASM33781v1,GCA_000337815.1,Contig,PRJNA174887,SAMN02471642,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337815.1_ASM33781v1,GCF_000337815.1,Full,strain=ATCC BAA-1512,,Haloferax mucosum ATCC BAA-1512,identical,representative genome,Major,,2013/02/04,403181,"University of California, Davis",662479,latest,AOLN00000000.1,48.0
ASM2394v1,GCA_000023945.1,Complete Genome,PRJNA29305,SAMN00002611,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000023945.1_ASM2394v1,GCF_000023945.1,Full,strain=DSM 12940,,Halorhabdus utahensis DSM 12940,identical,representative genome,Major,,2009/08/27,146826,,519442,latest,,50.0
ASM70002v2,GCA_000700025.2,Contig,PRJNA248778,SAMN02803665,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000700025.2_ASM70002v2,GCF_000700025.1,Full,strain=H3,,Halorubrum saccharovorum,identical,na,Major,,2015/04/21,2248,THE INSTITUTE OF CYTOLOGY AND GENETICS,2248,latest,JNFH00000000.2,50.0
ASM33711v1,GCA_000337115.1,Contig,PRJNA174927,SAMN02471662,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337115.1_ASM33711v1,GCF_000337115.1,Full,strain=DSM 11522,,Haloterrigena thermotolerans DSM 11522,identical,na,Major,,2013/02/04,121872,"University of California, Davis",1227489,latest,AOIR00000000.1,50.0
ASM19665v1,GCA_000196655.1,Complete Genome,PRJNA37945,SAMN00015125,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000196655.1_ASM19665v1,GCF_000196655.1,Full,strain=Z-7303,,Methanohalobium evestigatum Z-7303,identical,representative genome,Major,,2010/06/15,2322,,644295,latest,,50.0
ASM23568v3,GCA_000235685.3,Complete Genome,PRJNA62035,SAMN02261397,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000235685.3_ASM23568v3,GCF_000235685.2,Full,strain=NOBI-1,,Methanolinea tarda NOBI-1,identical,representative genome,Major,,2014/01/13,263906,JGI,882090,latest,AGIY00000000.2,50.0
ASM33757v1,GCA_000337575.1,Contig,PRJNA174932,SAMN02471673,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337575.1_ASM33757v1,GCF_000337575.1,Full,strain=JCM 10989,,Natrialba hulunbeirensis JCM 10989,identical,na,Major,,2013/02/04,123783,"University of California, Davis",1227493,latest,AOIM00000000.1,50.0
