assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path
GCA_000979665.1	PRJNA242781	SAMN02708986	JJPL00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.F.T.2.1		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979665.1_gtlEnvA5udCFS
GCA_000979685.1	PRJNA242781	SAMN02708963	JJPP00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.A.2.4		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979685.1_gtlEnvA5udCFS
GCA_000979675.1	PRJNA242781	SAMN02708962	JJPN00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.A.1A.2		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979675.1_gtlEnvA5udCFS
GCA_000979735.1	PRJNA242781	SAMN02708950	JJPQ00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.A.2.5		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979735.1_gtlEnvA5udCFS
GCA_000979745.1	PRJNA242781	SAMN02708977	JJPS00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.A.2.8		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979745.1_gtlEnvA5udCFS
GCA_000979755.1	PRJNA242781	SAMN02708952	JJPT00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.M.1A.1		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979755.1_gtlEnvA5udCFS
GCA_000979765.1	PRJNA242781	SAMN02708953	JJPV00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.M.1B.2		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979765.1_gtlEnvA5udCFS
GCA_000979815.1	PRJNA242781	SAMN02708955	JJPY00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.T.1A.1		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979815.1_gtlEnvA5udCFS
GCA_000979825.1	PRJNA242781	SAMN02708965	JJPZ00000000.1	na	2209	2209	Methanosarcina mazei	strain=3.H.T.1A.2		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979825.1_gtlEnvA5udCFS
GCA_000979845.1	PRJNA242781	SAMN02708933	JJQB00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.F.A.1B.3		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979845.1_gtlEnvA5udCFS
GCA_000979855.1	PRJNA242781	SAMN02708966	JJQC00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.F.A.1B.4		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979855.1_gtlEnvA5udCFS
GCA_000979895.1	PRJNA242781	SAMN02708934	JJQF00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.A.0.1		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979895.1_gtlEnvA5udCFS
GCA_000979915.1	PRJNA242781	SAMN02708957	JJQG00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.A.1A.1		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979915.1_gtlEnvA5udCFS
GCA_000979925.1	PRJNA242781	SAMN02708969	JJQJ00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.A.1A.6		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979925.1_gtlEnvA5udCFS
GCA_000979935.1	PRJNA242781	SAMN02708978	JJQK00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.A.2.1		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979935.1_gtlEnvA5udCFS
GCA_000980005.1	PRJNA242781	SAMN02708958	JJQP00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.A.2.8		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000980005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000980005.1_gtlEnvA5udCFS
GCA_000979995.1	PRJNA242781	SAMN02708979	JJQN00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.A.2.6		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000979995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000979995.1_gtlEnvA5udCFS
GCA_000980025.1	PRJNA242781	SAMN02708970	JJQQ00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.M.0.1		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000980025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000980025.1_gtlEnvA5udCFS
GCA_000980055.1	PRJNA242781	SAMN02708959	JJQR00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.M.1A.1		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000980055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000980055.1_gtlEnvA5udCFS
GCA_000980075.1	PRJNA242781	SAMN02708940	JJQW00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.M.2.3		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000980075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000980075.1_gtlEnvA5udCFS
GCA_000980105.1	PRJNA242781	SAMN02708972	JJQX00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.M.2.4		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000980105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000980105.1_gtlEnvA5udCFS
GCA_000980085.1	PRJNA242781	SAMN02708971	JJQT00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.M.1A.3		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000980085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000980085.1_gtlEnvA5udCFS
GCA_000980135.1	PRJNA242781	SAMN02708973	JJQZ00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.T.2.1		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000980135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000980135.1_gtlEnvA5udCFS
GCA_000980155.1	PRJNA242781	SAMN02708941	JJRA00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.T.2.3		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000980155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000980155.1_gtlEnvA5udCFS
GCA_000980175.1	PRJNA242781	SAMN02708942	JJRB00000000.1	na	2209	2209	Methanosarcina mazei	strain=1.H.T.2.5		latest	Contig	Major	Full	2015/04/23	gtlEnvA5udCFS	University of Illinois at Urbana-Champaign	GCF_000980175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000980175.1_gtlEnvA5udCFS
GCA_000007065.1	PRJNA300	SAMN02603290		representative genome	192952	2209	Methanosarcina mazei Go1	strain=Go1		latest	Complete Genome	Major	Full	2002/05/20	ASM706v1		GCF_000007065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007065.1_ASM706v1
GCA_000341715.1	PRJNA176295	SAMN02603746		na	1236903	2209	Methanosarcina mazei Tuc01	strain=Tuc01		latest	Complete Genome	Major	Full	2013/02/22	ASM34171v1	Rede Paraense de Genomica e Proteomica	GCF_000341715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000341715.1_ASM34171v1
GCA_000969885.1	PRJNA230961	SAMN03074597		na	523844	2210	Methanosarcina thermophila TM-1	strain=TM-1		latest	Complete Genome	Major	Full	2015/04/07	ASM96988v1	University of Illinois at Urbana-Champaign	GCF_000969885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000969885.1_ASM96988v1
GCA_000969925.1	PRJNA230959	SAMN03074595		na	1434121	2210	Methanosarcina thermophila CHTI-55	strain=CHTI-55		latest	Complete Genome	Major	Full	2015/04/07	ASM96992v1	University of Illinois at Urbana-Champaign	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000969925.1_ASM96992v1
GCA_000007345.1	PRJNA290	SAMN03081414		representative genome	188937	2214	Methanosarcina acetivorans C2A	strain=C2A		latest	Complete Genome	Major	Full	2002/04/03	ASM734v1		GCF_000007345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007345.1_ASM734v1
GCA_000969905.1	PRJNA230962	SAMN03074598		na	1434123	2215	Methanosarcina vacuolata Z-761	strain=Z-761		latest	Complete Genome	Major	Full	2015/04/07	ASM96990v1	University of Illinois at Urbana-Champaign	GCF_000969905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000969905.1_ASM96990v1
GCA_000504205.1	PRJNA81435	SAMN02597164	AZAJ00000000.1	representative genome	1090322	2221	Methanolobus tindarius DSM 2278	strain=DSM 2278		latest	Contig	Major	Full	2013/12/05	ASM50420v1	JGI	GCF_000504205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000504205.1_ASM50420v1
GCA_000204415.1	PRJNA63185	SAMN02604263		representative genome	990316	2223	Methanosaeta concilii GP6	strain=GP6		latest	Complete Genome	Major	Full	2011/04/15	ASM20441v1		GCF_000204415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000204415.1_ASM20441v1
GCA_000014945.1	PRJNA15765	SAMN02598350		representative genome	349307	2224	Methanosaeta thermophila PT	strain=PT		latest	Complete Genome	Major	Full	2006/10/25	ASM1494v1		GCF_000014945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000014945.1_ASM1494v1
GCA_000765475.1	PRJNA260970	SAMN03067868	JRHO00000000.1	representative genome	2226	2226	Methanococcoides methylutens	strain=DSM 2657		latest	Contig	Major	Full	2014/10/10	Mmet_Version1	King Abdullah University of Science and Technology (KAUST)	GCF_000765475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000765475.1_Mmet_Version1
GCA_000970325.1	PRJNA230935	SAMN03074571		na	1434104	2226	Methanococcoides methylutens MM1	strain=MM1		latest	Complete Genome	Major	Full	2015/04/07	ASM97032v1	University of Illinois at Urbana-Champaign	GCF_000970325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000970325.1_ASM97032v1
GCA_000734035.1	PRJNA208006	SAMN03081472		na	1344584	2234	Archaeoglobus fulgidus DSM 8774	strain=DSM 8774		latest	Complete Genome	Major	Full	2014/07/28	ASM73403v1	University Bergen	GCF_000734035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000734035.1_ASM73403v1
GCA_000008665.1	PRJNA104	SAMN02603985		representative genome	224325	2234	Archaeoglobus fulgidus DSM 4304	strain=DSM 4304		latest	Complete Genome	Major	Full	1999/12/22	ASM866v1		GCF_000008665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000008665.1_ASM866v1
GCA_000011085.1	PRJNA105	SAMN02603385		na	272569	2238	Haloarcula marismortui ATCC 43049	strain=ATCC 43049		latest	Complete Genome	Major	Full	2004/11/02	ASM1108v1		GCF_000011085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000011085.1_ASM1108v1
GCA_000006805.1	PRJNA217	SAMN02604216		na	64091	2242	Halobacterium sp. NRC-1	strain=NRC-1; ATCC 700922		latest	Complete Genome	Major	Full	2001/01/09	ASM680v1		GCF_000006805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000006805.1_ASM680v1
GCA_000069025.1	PRJNA106	SAMEA3138275		representative genome	478009	2242	Halobacterium salinarum R1	strain=DSM 671 = R1		latest	Complete Genome	Major	Full	2008/02/12	ASM6902v1		GCF_000069025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000069025.1_ASM6902v1
GCA_000025685.1	PRJNA12524	SAMN02604027		representative genome	309800	2246	Haloferax volcanii DS2	strain=DS2		latest	Complete Genome	Major	Full	2010/03/23	ASM2568v1		GCF_000025685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000025685.1_ASM2568v1
GCA_000337315.1	PRJNA174947	SAMN02471619	AOHU00000000.1	na	309800	2246	Haloferax volcanii DS2	strain=DS2		latest	Contig	Major	Full	2013/02/04	ASM33731v1	University of California, Davis	GCF_000337315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337315.1_ASM33731v1
GCA_000022205.1	PRJNA18455	SAMN02598407		representative genome	416348	2247	Halorubrum lacusprofundi ATCC 49239	strain=ATCC 49239		latest	Complete Genome	Major	Full	2009/02/04	ASM2220v1		GCF_000022205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000022205.1_ASM2220v1
GCA_000700025.1	PRJNA248778	SAMN02803665	JNFH00000000.1	na	2248	2248	Halorubrum saccharovorum	strain=H3		replaced	Contig	Major	Full	2014/06/10	ASM70002v1	THE INSTITUTE OF CYTOLOGY AND GENETICS	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000700025.1_ASM70002v1
GCA_000700025.2	PRJNA248778	SAMN02803665	JNFH00000000.2	na	2248	2248	Halorubrum saccharovorum	strain=H3		latest	Contig	Major	Full	2015/04/21	ASM70002v2	THE INSTITUTE OF CYTOLOGY AND GENETICS	GCF_000700025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000700025.2_ASM70002v2
GCA_000337915.1	PRJNA174920	SAMN02471663	AOJE00000000.1	representative genome	1227484	2248	Halorubrum saccharovorum DSM 1137	strain=DSM 1137		latest	Contig	Major	Full	2013/02/04	ASM33791v1	University of California, Davis	GCF_000337915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337915.1_ASM33791v1
GCA_000336695.1	PRJNA174897	SAMN02471675	AOMC00000000.1	representative genome	931277	2250	Halococcus morrhuae DSM 1307	strain=DSM 1307		latest	Contig	Major	Full	2013/02/04	ASM33669v1	University of California, Davis	GCF_000336695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336695.1_ASM33669v1
GCA_000685635.1	PRJNA238908	SAMN02724739		na	523841	2252	Haloferax mediterranei ATCC 33500	strain=ATCC 33500		latest	Chromosome	Major	Full	2014/05/08	ASM68563v1	University of Alicante	GCF_000685635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000685635.1_ASM68563v1
GCA_000306765.2	PRJNA43185	SAMN02603397		representative genome	523841	2252	Haloferax mediterranei ATCC 33500	strain=CGMCC 1.2087		latest	Complete Genome	Major	Full	2014/05/27	ASM30676v2	Institute of Microbiology, Chinese Academy of Sciences	GCF_000306765.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000306765.2_ASM30676v2
GCA_000337295.1	PRJNA174886	SAMN02471643	AOLO00000000.1	na	523841	2252	Haloferax mediterranei ATCC 33500	strain=ATCC 33500		latest	Contig	Major	Full	2013/02/04	ASM33729v1	University of California, Davis	GCF_000337295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337295.1_ASM33729v1
GCA_000336795.1	PRJNA174905	SAMN02471684	AOLH00000000.1	na	1230452	2254	Haloferax lucentense DSM 14919	strain=DSM 14919		latest	Contig	Major	Full	2013/02/04	ASM33679v1	University of California, Davis	GCF_000336795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336795.1_ASM33679v1
GCA_000026045.1	PRJNA15742	SAMEA3138222		representative genome	348780	2257	Natronomonas pharaonis DSM 2160	strain=Gabara		latest	Complete Genome	Major	Full	2005/09/28	ASM2604v1		GCF_000026045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000026045.1_ASM2604v1
GCA_000007305.1	PRJNA287	SAMN02604284		representative genome	186497	2261	Pyrococcus furiosus DSM 3638	strain=DSM 3638		latest	Complete Genome	Major	Full	2002/02/27	ASM730v1		GCF_000007305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007305.1_ASM730v1
GCA_000275605.1	PRJNA163827	SAMN02603219		na	1185654	2261	Pyrococcus furiosus COM1	strain=COM1		latest	Complete Genome	Major	Full	2012/06/29	ASM27560v1	ENIGMA- Ecosystems and Networks Integrated with Genes and Molecular Assemblies	GCF_000275605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000275605.1_ASM27560v1
GCA_000246985.3	PRJNA81925	SAMN02603679		representative genome	523849	2265	Thermococcus litoralis DSM 5473	strain=DSM 5473		latest	Complete Genome	Major	Full	2013/08/13	ASM24698v3	New England Biolabs, Inc.	GCF_000246985.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000246985.3_ASM24698v3
GCA_000015225.1	PRJNA16331	SAMN02598366		representative genome	368408	2269	Thermofilum pendens Hrk 5	strain=Hrk 5		latest	Complete Genome	Major	Full	2006/12/18	ASM1522v1		GCF_000015225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000015225.1_ASM1522v1
GCA_000253055.1	PRJEA49419	SAMEA2272453		representative genome	768679	2271	Thermoproteus tenax Kra 1	strain=Kra 1		latest	Complete Genome	Major	Full	2011/10/06	ASM25305v1	University of Duisburg-Essen, Faculty of Chemistry, Molecular Enzyme Technology and Biochemistry	GCF_000253055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000253055.1_ASM25305v1
GCA_001006085.1	PRJNA163045	SAMN03649618	AUQX00000000.1	na	675631	2274	Desulfurococcus mobilis DSM 2161	strain=DSM 2161		latest	Scaffold	Major	Full	2015/05/11	ASM100608v1	DOE Joint Genome Institute	GCF_001006085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001006085.1_ASM100608v1
GCA_000186365.1	PRJNA48641	SAMN00103627		representative genome	765177	2275	Desulfurococcus mucosus DSM 2162	strain=DSM 2162		latest	Complete Genome	Major	Full	2011/01/20	ASM18636v1		GCF_000186365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000186365.1_ASM18636v1
GCA_000015205.1	PRJNA16743	SAMN02598374		representative genome	384616	2277	Pyrobaculum islandicum DSM 4184	strain=DSM 4184		latest	Complete Genome	Major	Full	2006/12/20	ASM1520v1		GCF_000015205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000015205.1_ASM1520v1
GCA_000015945.1	PRJNA17449	SAMN02598390		representative genome	399550	2280	Staphylothermus marinus F1	strain=F1		latest	Complete Genome	Major	Full	2007/02/21	ASM1594v1		GCF_000015945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000015945.1_ASM1594v1
GCA_000012285.1	PRJNA13935	SAMN02603173		representative genome	330779	2285	Sulfolobus acidocaldarius DSM 639	strain=DSM 639		latest	Complete Genome	Major	Full	2005/07/05	ASM1228v1		GCF_000012285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000012285.1_ASM1228v1
GCA_000338775.1	PRJNA66535	SAMN02604153		na	1028567	2285	Sulfolobus acidocaldarius Ron12/I	strain=Ron12/I		latest	Complete Genome	Major	Full	2013/02/08	ASM33877v1	University of Cincinnati	GCF_000338775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000338775.1_ASM33877v1
GCA_000340315.1	PRJNA66533	SAMN02604152		na	1028566	2285	Sulfolobus acidocaldarius N8	strain=N8		latest	Complete Genome	Major	Full	2013/02/08	ASM34031v1	University of Cincinnati	GCF_000340315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000340315.1_ASM34031v1
GCA_000508305.1	PRJNA231215	SAMN03081514		na	1435377	2285	Sulfolobus acidocaldarius SUSAZ	strain=SUSAZ		latest	Complete Genome	Major	Full	2013/12/16	ASM50830v1	Center for Genomic Sciences	GCF_000508305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000508305.1_ASM50830v1
GCA_000968355.1	PRJNA279939	SAMN03452281		na	2287	2287	Sulfolobus solfataricus	strain=SULB	98/2	latest	Complete Genome	Major	Full	2015/04/02	ASM96835v1	University of Nebraska-Lincoln	GCF_000968355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000968355.1_ASM96835v1
GCA_000968395.1	PRJNA277733	SAMN03395044		na	2287	2287	Sulfolobus solfataricus	strain=98/2 SULC		latest	Complete Genome	Major	Full	2015/04/02	ASM96839v1	University of Nebraska-Lincoln	GCF_000968395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000968395.1_ASM96839v1
GCA_000968435.1	PRJNA279935	SAMN03452280		na	2287	2287	Sulfolobus solfataricus	strain=SULA	98/2	latest	Complete Genome	Major	Full	2015/04/02	ASM96843v1	University of Nebraska-Lincoln	GCF_000968435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000968435.1_ASM96843v1
GCA_000007005.1	PRJNA108	SAMN02603227		representative genome	273057	2287	Sulfolobus solfataricus P2	strain=P2		latest	Complete Genome	Major	Full	2002/11/25	ASM700v1		GCF_000007005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007005.1_ASM700v1
GCA_000024745.1	PRJNA30989	SAMN00120218		na	555311	2287	Sulfolobus solfataricus 98/2	strain=98/2		latest	Complete Genome	Major	Full	2009/10/20	ASM2474v1		GCF_000024745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000024745.1_ASM2474v1
GCA_000175555.1	PRJNA33849	SAMN00001854	ACUK00000000.1	na	555311	2287	Sulfolobus solfataricus 98/2	strain=98/2		latest	Contig	Major	Full	2009/07/20	ASM17555v1	Washington State University	GCF_000175555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000175555.1_ASM17555v1
GCA_000195915.1	PRJNA110	SAMEA3138325		representative genome	273075	2303	Thermoplasma acidophilum DSM 1728	strain=DSM1728		latest	Chromosome	Major	Full	2003/05/06	ASM19591v1		GCF_000195915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000195915.1_ASM19591v1
GCA_000243255.1	PRJNA61291	SAMN02261391	AHKP00000000.1	representative genome	937775	2315	Methanoplanus limicola DSM 2279	strain=DSM 2279		latest	Chromosome	Major	Full	2012/01/24	ASM24325v1		GCF_000243255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000243255.1_ASM24325v1
GCA_000012545.1	PRJNA15579	SAMN02604180		representative genome	339860	2317	Methanosphaera stadtmanae DSM 3091	strain=DSM 3091		latest	Complete Genome	Major	Full	2006/01/05	ASM1254v1		GCF_000012545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000012545.1_ASM1254v1
GCA_000007185.1	PRJNA294	SAMN02603235		representative genome	190192	2320	Methanopyrus kandleri AV19	strain=AV19		latest	Complete Genome	Major	Full	2002/04/03	ASM718v1		GCF_000007185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007185.1_ASM718v1
GCA_000196655.1	PRJNA37945	SAMN00015125		representative genome	644295	2322	Methanohalobium evestigatum Z-7303	strain=Z-7303		latest	Complete Genome	Major	Full	2010/06/15	ASM19665v1		GCF_000196655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000196655.1_ASM19665v1
GCA_000025625.1	PRJNA30691	SAMN02598473		representative genome	547559	13769	Natrialba magadii ATCC 43099	strain=ATCC 43099		latest	Complete Genome	Major	Full	2010/02/24	ASM2562v1		GCF_000025625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000025625.1_ASM2562v1
GCA_000337875.1	PRJNA174949	SAMN02471679	AOHS00000000.1	na	547559	13769	Natrialba magadii ATCC 43099	strain=MS-3		latest	Contig	Major	Full	2013/02/04	ASM33787v1	University of California, Davis	GCF_000337875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337875.1_ASM33787v1
GCA_000007225.1	PRJNA172	SAMN02604075		representative genome	178306	13773	Pyrobaculum aerophilum str. IM2	strain=IM2		latest	Complete Genome	Major	Full	2002/01/24	ASM722v1		GCF_000007225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007225.1_ASM722v1
GCA_000337775.1	PRJNA174884	SAMN02471656	AOLQ00000000.1	representative genome	662477	28442	Haloarcula vallismortis ATCC 29715	strain=ATCC 29715		latest	Contig	Major	Full	2013/02/04	ASM33777v1	University of California, Davis	GCF_000337775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000337775.1_ASM33777v1
GCA_000336635.1	PRJNA174893	SAMN02471638	AOLY00000000.1	na	1227453	29282	Haloarcula japonica DSM 6131	strain=DSM 6131		latest	Contig	Major	Full	2013/02/04	ASM33663v1	University of California, Davis	GCF_000336635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000336635.1_ASM33663v1
